name,title,company,location,company_hq,email,linkedin,recent_publication,publication_year,publication_title,company_funding,uses_3d_models,tenure_months,propensity_score,rank
Dr. Lisa Kumar,VP Safety Assessment,Merck,"Cambridge, MA","Cambridge, MA",lisa.kumar@merck.com,linkedin.com/in/lisakumar,True,2024.0,Advanced in vitro toxicity testing methods,Series C,True,16,100,1
Dr. Jessica Smith,Toxicology Manager,Novartis,"Basel, Switzerland","Basel, Switzerland",jessica.smith@novartis.com,linkedin.com/in/jessicasmith,True,2023.0,Drug-induced liver injury prediction using spheroids,Series C,True,20,100,1
Dr. Thomas Garcia,Safety Pharmacology Lead,CRISPR Therapeutics,"Basel, Switzerland","Basel, Switzerland",thomas.garcia@crisprtherap.com,linkedin.com/in/thomasgarcia,True,2024.0,3D cell culture models in safety pharmacology,Series B,False,20,100,1
Dr. Jennifer Miller,Principal Scientist - Toxicology,Roche,"Basel, Switzerland","Basel, Switzerland",jennifer.miller@roche.com,linkedin.com/in/jennifermiller,True,2024.0,Liver organoid applications in drug discovery,Series C,False,20,100,1
Dr. Michelle Davis,Senior Director - Nonclinical Safety,Ginkgo Bioworks,"Cambridge, MA","Cambridge, MA",michelle.davis@ginkgobiowor.com,linkedin.com/in/michelledavis,True,2023.0,Liver organoid applications in drug discovery,Series C,True,21,100,1
Dr. Maria Garcia,Director of Safety Sciences,Sanofi,"Cambridge, MA","Cambridge, MA",maria.garcia@sanofi.com,linkedin.com/in/mariagarcia,True,2023.0,Novel 3D hepatic models for DILI assessment,Series B,False,55,100,1
Dr. Laura Garcia,Group Leader - Toxicology,Vertex Pharmaceuticals,New Jersey,New Jersey,laura.garcia@vertex.com,linkedin.com/in/lauragarcia,True,2024.0,Novel 3D hepatic models for DILI assessment,Series C,True,42,96,7
Dr. Maria Williams,Director of Safety Sciences,AstraZeneca,"San Diego, CA","San Diego, CA",maria.williams@astrazeneca.com,linkedin.com/in/mariawilliams,True,2023.0,Microphysiological systems for toxicity prediction,Series C,False,38,96,7
Dr. Brian Williams,Director of Toxicology,Alnylam Pharmaceuticals,"Oxford, UK","Oxford, UK",brian.williams@alnylam.com,linkedin.com/in/brianwilliams,True,2023.0,Drug-induced liver injury prediction using spheroids,Series C,True,22,96,7
Dr. Laura Johnson,Director of Safety Sciences,Merck,"South San Francisco, CA","South San Francisco, CA",laura.johnson@merck.com,linkedin.com/in/laurajohnson,True,2023.0,Microphysiological systems for toxicity prediction,Series A,False,53,96,7
Dr. Robert Lee,Principal Scientist - Toxicology,Vertex Pharmaceuticals,"Seattle, WA","Seattle, WA",robert.lee@vertex.com,linkedin.com/in/robertlee,True,2023.0,High-throughput screening using 3D models,Series C,True,56,96,7
Dr. Betty Smith,Toxicology Manager,Merck,"London, UK","London, UK",betty.smith@merck.com,linkedin.com/in/bettysmith,True,2023.0,NAMs for hepatotoxicity screening,Series B,False,26,96,7
Dr. James Jones,Senior Director - Nonclinical Safety,CRISPR Therapeutics,"London, UK","London, UK",james.jones@crisprtherap.com,linkedin.com/in/jamesjones,True,2024.0,3D cell culture models in safety pharmacology,Series B,True,52,96,7
Dr. Robert Taylor,Director of Safety Sciences,Bayer,"Seattle, WA","Seattle, WA",robert.taylor@bayer.com,linkedin.com/in/roberttaylor,True,2023.0,Advanced in vitro toxicity testing methods,Series A,True,41,96,7
Dr. Daniel Martin,Group Leader - Toxicology,Editas Medicine,"Research Triangle Park, NC","Research Triangle Park, NC",daniel.martin@editasmedici.com,linkedin.com/in/danielmartin,True,2023.0,3D cell culture models in safety pharmacology,Series C,False,28,92,15
Dr. Jennifer Harris,Director of Safety Sciences,Regeneron,"Boston, MA","Boston, MA",jennifer.harris@regeneron.com,linkedin.com/in/jenniferharris,True,2023.0,Predictive toxicology with in vitro systems,Series C,False,34,92,15
Dr. James Park,Head of Preclinical Safety,Johnson & Johnson,"South San Francisco, CA","South San Francisco, CA",james.park@johnson&john.com,linkedin.com/in/jamespark,True,2024.0,Novel 3D hepatic models for DILI assessment,Public,True,14,92,15
Dr. Karen Rodriguez,Safety Pharmacology Lead,BioMarin,Remote - Texas,Remote - Texas,karen.rodriguez@biomarin.com,linkedin.com/in/karenrodriguez,True,2023.0,Microphysiological systems for toxicity prediction,Series C,True,59,92,15
Dr. Brian Harris,Director of Toxicology,Novo Nordisk,"London, UK","London, UK",brian.harris@novonordisk.com,linkedin.com/in/brianharris,True,2024.0,NAMs for hepatotoxicity screening,IPO,False,34,92,15
Dr. Jessica Martin,Principal Scientist - Toxicology,Alexion,"Oxford, UK","Oxford, UK",jessica.martin@alexion.com,linkedin.com/in/jessicamartin,True,2023.0,Liver organoid applications in drug discovery,Public,False,40,92,15
Dr. Matthew White,Safety Pharmacology Lead,Bayer,"Seattle, WA","Seattle, WA",matthew.white@bayer.com,linkedin.com/in/matthewwhite,True,2023.0,Novel 3D hepatic models for DILI assessment,Public,True,8,92,15
Dr. Kevin Miller,VP Safety Assessment,Pfizer,"Seattle, WA","Seattle, WA",kevin.miller@pfizer.com,linkedin.com/in/kevinmiller,True,2023.0,Novel 3D hepatic models for DILI assessment,Public,False,30,92,15
Dr. Betty Davis,Principal Scientist - Toxicology,Alexion,New Jersey,New Jersey,betty.davis@alexion.com,linkedin.com/in/bettydavis,True,2023.0,Advanced in vitro toxicity testing methods,Public,False,54,92,15
Dr. James Brown,Senior Director - Nonclinical Safety,Takeda,"Seattle, WA","Seattle, WA",james.brown@takeda.com,linkedin.com/in/jamesbrown,True,2023.0,Advanced in vitro toxicity testing methods,IPO,True,46,92,15
Dr. Matthew Moore,Safety Pharmacology Lead,Takeda,New Jersey,New Jersey,matthew.moore@takeda.com,linkedin.com/in/matthewmoore,True,2023.0,High-throughput screening using 3D models,Public,True,57,92,15
Dr. Daniel Park,Director of Safety Sciences,Beam Therapeutics,Remote - California,Remote - California,daniel.park@beamtherapeu.com,linkedin.com/in/danielpark,True,2024.0,Liver organoid applications in drug discovery,Series C,False,13,92,15
Dr. Robert Johnson,Head of Preclinical Safety,Biogen,"Indianapolis, IN","Indianapolis, IN",robert.johnson@biogen.com,linkedin.com/in/robertjohnson,True,2023.0,Drug-induced liver injury prediction using spheroids,Series A,True,42,92,15
Dr. Robert Brown,Group Leader - Toxicology,Ginkgo Bioworks,New Jersey,New Jersey,robert.brown@ginkgobiowor.com,linkedin.com/in/robertbrown,True,2023.0,High-throughput screening using 3D models,Public,True,47,92,15
Dr. David Williams,Principal Scientist - Toxicology,Johnson & Johnson,"Boston, MA","Boston, MA",david.williams@johnson&john.com,linkedin.com/in/davidwilliams,True,2024.0,Organ-on-chip technology in drug development,Series B,False,57,92,15
Dr. Michelle Park,Senior Director - Nonclinical Safety,Merck,"Seattle, WA","Seattle, WA",michelle.park@merck.com,linkedin.com/in/michellepark,True,2023.0,Drug-induced liver injury prediction using spheroids,Public,False,25,92,15
Dr. Amanda Davis,Group Leader - Toxicology,Pfizer,"Cambridge, UK","Cambridge, UK",amanda.davis@pfizer.com,linkedin.com/in/amandadavis,True,2024.0,3D cell culture models in safety pharmacology,Public,False,46,92,15
Dr. Matthew Johnson,Group Leader - Toxicology,Roche,"Indianapolis, IN","Indianapolis, IN",matthew.johnson@roche.com,linkedin.com/in/matthewjohnson,True,2024.0,3D cell culture models in safety pharmacology,Series B,True,22,92,15
Dr. Thomas Smith,Director of Safety Sciences,Intellia Therapeutics,"Chicago, IL","Chicago, IL",thomas.smith@intelliather.com,linkedin.com/in/thomassmith,True,2023.0,Drug-induced liver injury prediction using spheroids,Series C,False,31,92,15
Dr. Christopher Mitchell,Senior Director - Nonclinical Safety,CRISPR Therapeutics,"Research Triangle Park, NC","Research Triangle Park, NC",christopher.mitchell@crisprtherap.com,linkedin.com/in/christophermitchell,True,2024.0,Microphysiological systems for toxicity prediction,Series B,False,9,92,15
Dr. Jennifer Lee,Lead Toxicologist,Roche,"Basel, Switzerland","Basel, Switzerland",jennifer.lee@roche.com,linkedin.com/in/jenniferlee,True,2023.0,High-throughput screening using 3D models,Series B,False,30,91,35
Dr. Andrew Moore,Associate Director - Safety,Amgen,Remote - Colorado,Remote - Colorado,andrew.moore@amgen.com,linkedin.com/in/andrewmoore,True,2024.0,High-throughput screening using 3D models,Public,True,30,88,36
Dr. Thomas Brown,Safety Pharmacology Lead,CRISPR Therapeutics,"Research Triangle Park, NC","Research Triangle Park, NC",thomas.brown@crisprtherap.com,linkedin.com/in/thomasbrown,True,2024.0,Microphysiological systems for toxicity prediction,IPO,True,21,88,36
Dr. Nancy Young,Group Leader - Toxicology,Bluebird Bio,"South San Francisco, CA","South San Francisco, CA",nancy.young@bluebirdbio.com,linkedin.com/in/nancyyoung,True,2024.0,Organ-on-chip technology in drug development,Series B,True,49,88,36
Dr. Andrew Chen,Principal Scientist - Toxicology,Bayer,"Research Triangle Park, NC","Research Triangle Park, NC",andrew.chen@bayer.com,linkedin.com/in/andrewchen,True,2023.0,Liver organoid applications in drug discovery,Public,True,7,88,36
Dr. Jessica Davis,Safety Pharmacology Lead,Sanofi,"London, UK","London, UK",jessica.davis@sanofi.com,linkedin.com/in/jessicadavis,True,2024.0,Organ-on-chip technology in drug development,Series B,False,6,88,36
Dr. Karen Johnson,Head of Preclinical Safety,Takeda,Remote - California,Remote - California,karen.johnson@takeda.com,linkedin.com/in/karenjohnson,True,2024.0,Advanced in vitro toxicity testing methods,Public,True,25,88,36
Dr. Michelle Smith,Principal Scientist - Toxicology,Ginkgo Bioworks,"Research Triangle Park, NC","Research Triangle Park, NC",michelle.smith@ginkgobiowor.com,linkedin.com/in/michellesmith,True,2023.0,NAMs for hepatotoxicity screening,Public,False,39,88,36
Dr. Steven Park,Senior Director - Nonclinical Safety,AstraZeneca,"New York, NY","New York, NY",steven.park@astrazeneca.com,linkedin.com/in/stevenpark,True,2023.0,Liver organoid applications in drug discovery,IPO,False,17,88,36
Dr. Steven Miller,VP Safety Assessment,AstraZeneca,"Cambridge, UK","Cambridge, UK",steven.miller@astrazeneca.com,linkedin.com/in/stevenmiller,True,2024.0,Organ-on-chip technology in drug development,Series C,True,20,88,36
Dr. Maria Martin,Head of Preclinical Safety,GSK,"New York, NY","New York, NY",maria.martin@gsk.com,linkedin.com/in/mariamartin,True,2023.0,3D cell culture models in safety pharmacology,Public,False,22,88,36
Dr. Matthew Rodriguez,Group Leader - Toxicology,Biogen,"San Francisco, CA","San Francisco, CA",matthew.rodriguez@biogen.com,linkedin.com/in/matthewrodriguez,True,2024.0,Organ-on-chip technology in drug development,IPO,True,49,84,46
Dr. Kevin Park,Toxicology Manager,Editas Medicine,Remote - Texas,Remote - Texas,kevin.park@editasmedici.com,linkedin.com/in/kevinpark,True,2023.0,Organ-on-chip technology in drug development,Series B,True,6,84,46
Dr. Karen Harris,Director of Toxicology,Takeda,"Chicago, IL","Chicago, IL",karen.harris@takeda.com,linkedin.com/in/karenharris,True,2024.0,Predictive toxicology with in vitro systems,Series C,False,56,84,46
Dr. Karen Park,Principal Scientist - Toxicology,Intellia Therapeutics,Remote - Colorado,Remote - Colorado,karen.park@intelliather.com,linkedin.com/in/karenpark,True,2024.0,Organ-on-chip technology in drug development,Series B,False,34,84,46
Dr. Steven Young,Safety Pharmacology Lead,Biogen,"Cambridge, UK","Cambridge, UK",steven.young@biogen.com,linkedin.com/in/stevenyoung,True,2024.0,3D cell culture models in safety pharmacology,Seed,False,54,84,46
Dr. Betty Brown,Head of Preclinical Safety,Eli Lilly,"Philadelphia, PA","Philadelphia, PA",betty.brown@elililly.com,linkedin.com/in/bettybrown,True,2024.0,Predictive toxicology with in vitro systems,Series B,True,20,84,46
Dr. Steven Chen,Associate Director - Safety,Regeneron,"Philadelphia, PA","Philadelphia, PA",steven.chen@regeneron.com,linkedin.com/in/stevenchen,True,2024.0,Organ-on-chip technology in drug development,Series B,True,30,84,46
Dr. Jessica Martin,Lead Toxicologist,AbbVie,Remote - Texas,Remote - Texas,jessica.martin@abbvie.com,linkedin.com/in/jessicamartin,True,2023.0,Liver organoid applications in drug discovery,Series B,False,55,83,53
Dr. Susan Chen,Lead Toxicologist,Intellia Therapeutics,"Chicago, IL","Chicago, IL",susan.chen@intelliather.com,linkedin.com/in/susanchen,True,2024.0,Liver organoid applications in drug discovery,Series C,True,18,83,53
Dr. David Wilson,Principal Investigator,AstraZeneca,"Cambridge, MA","Cambridge, MA",david.wilson@astrazeneca.com,linkedin.com/in/davidwilson,True,2023.0,Organ-on-chip technology in drug development,Series C,True,7,83,53
Dr. James Mitchell,Director of Toxicology,Vertex Pharmaceuticals,"Cambridge, MA","Cambridge, MA",james.mitchell@vertex.com,linkedin.com/in/jamesmitchell,True,2022.0,Drug-induced liver injury prediction using spheroids,Series C,False,23,80,56
Dr. Betty Wilson,Toxicology Manager,Bristol Myers Squibb,"Research Triangle Park, NC","Research Triangle Park, NC",betty.wilson@bristolmyers.com,linkedin.com/in/bettywilson,True,2024.0,Predictive toxicology with in vitro systems,Public,True,16,80,56
Dr. Susan Johnson,Director of Safety Sciences,Novartis,"Indianapolis, IN","Indianapolis, IN",susan.johnson@novartis.com,linkedin.com/in/susanjohnson,True,2023.0,Organ-on-chip technology in drug development,IPO,True,39,80,56
Dr. Robert Kumar,Lead Toxicologist,Novo Nordisk,"Chicago, IL","Chicago, IL",robert.kumar@novonordisk.com,linkedin.com/in/robertkumar,True,2024.0,NAMs for hepatotoxicity screening,Public,True,34,79,59
Dr. Matthew Mitchell,Research Fellow,Merck,"Cambridge, MA","Cambridge, MA",matthew.mitchell@merck.com,linkedin.com/in/matthewmitchell,True,2023.0,Liver organoid applications in drug discovery,Series C,True,57,76,60
